ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00010094	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-492		
A_25_P00010104	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-299-3p		
A_25_P00010116	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-154-3p		
A_25_P00010157	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-373-3p		
A_25_P00010159	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-433-3p		
A_25_P00010164	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302d-3p		
A_25_P00010170	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520g-3p		
A_25_P00010173	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-521		
A_25_P00010181	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-325		
A_25_P00010207	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-592		
A_25_P00010209	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-200a-3p		
A_25_P00010211	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-218-5p		
A_25_P00010225	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-648		
A_25_P00010237	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-184		
A_25_P00010245	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518b		
A_25_P00010259	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-372-3p		
A_25_P00010265	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-608		
A_25_P00010269	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-412-3p		
A_25_P00010288	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-181c-5p		
A_25_P00010316	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-9-3p		
A_25_P00010345	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-557		
A_25_P00010352	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-517-5p		
A_25_P00010357	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-432-3p		
A_25_P00010367	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-549a		
A_25_P00010370	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-346		
A_25_P00010373	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-640		
A_25_P00010398	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-605-5p		
A_25_P00010400	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-204-5p		
A_25_P00010444	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-448		
A_25_P00010446	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-299-5p		
A_25_P00010450	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-620		
A_25_P00010460	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-660-5p		
A_25_P00010470	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-10a-5p		
A_25_P00010472	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-99a-5p		
A_25_P00010475	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-100-5p		
A_25_P00010504	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-205-5p		
A_25_P00010506	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302c-5p		
A_25_P00010535	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-614		
A_25_P00010538	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302c-3p		
A_25_P00010548	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-141-3p		
A_25_P00010562	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520e		
A_25_P00010564	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520b		
A_25_P00010584	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-154-5p		
A_25_P00010589	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-132-3p		
A_25_P00010605	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-411-5p		
A_25_P00010617	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-137		
A_25_P00010621	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302b-3p		
A_25_P00010629	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-203a-3p		
A_25_P00010633	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-571		
